                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.61226,                 1.6175,                 1.2646,                0.60636,                0.79806,                 0.9178,                0.65781,                 0.8269,                 2.5773,                 1.4929,             0.00047309,             0.00047309,             0.00047309
                      2,                0.55252,                0.97973,                 1.2113,                0.69834,                0.51723,                0.62666,                0.34963,                 1.3663,                 2.0505,                 2.0124,             0.00090243,             0.00090243,             0.00090243
                      3,                0.54454,                0.83499,                 1.2071,                0.57058,                0.80341,                0.79794,                0.45277,                 1.2687,                 1.8702,                 1.7711,              0.0012846,              0.0012846,              0.0012846
                      4,                0.52315,                0.72173,                 1.1859,                0.77622,                 0.9208,                0.89979,                0.67434,                0.79788,                 1.2405,                 1.4884,              0.0012168,              0.0012168,              0.0012168
                      5,                0.48891,                0.63868,                 1.1646,                0.95661,                0.95647,                 0.9535,                0.82484,                0.61048,                0.59437,                 1.1555,              0.0011461,              0.0011461,              0.0011461
                      6,                0.44536,                0.55892,                 1.1311,                0.97213,                0.95398,                0.95923,                  0.857,                0.51076,                0.49135,                 1.0243,              0.0010753,              0.0010753,              0.0010753
                      7,                0.41151,                0.51112,                 1.1105,                0.97443,                0.95877,                 0.9639,                0.84859,                0.50405,                0.49693,                 1.0466,              0.0010046,              0.0010046,              0.0010046
                      8,                  0.391,                0.47865,                  1.093,                 0.9637,                0.95772,                0.95837,                 0.8636,                0.49171,                0.49065,                0.99819,             0.00093385,             0.00093385,             0.00093385
                      9,                0.38608,                0.46178,                  1.096,                0.97016,                0.94285,                0.96752,                 0.8941,                0.46217,                0.49216,                 0.9512,             0.00086312,             0.00086312,             0.00086312
                     10,                0.36241,                0.41961,                 1.0719,                0.96927,                0.94889,                0.96439,                0.90184,                0.46158,                0.47529,                0.94821,             0.00079238,             0.00079238,             0.00079238
                     11,                0.29251,                0.35106,                 1.1045,                0.97016,                0.94938,                0.96637,                0.89336,                0.46284,                0.42567,                0.95301,             0.00072164,             0.00072164,             0.00072164
                     12,                0.27021,                0.30577,                 1.0725,                0.97379,                0.95413,                0.96013,                0.91178,                0.42631,                0.42098,                 0.9166,             0.00065091,             0.00065091,             0.00065091
                     13,                0.25147,                0.28146,                 1.0586,                0.96261,                0.96161,                0.96945,                0.92009,                0.43594,                0.45516,                0.90534,             0.00058017,             0.00058017,             0.00058017
                     14,                0.23899,                0.25997,                 1.0538,                0.96976,                0.94656,                0.97048,                0.92637,                0.42303,                0.44243,                0.91922,             0.00050944,             0.00050944,             0.00050944
                     15,                0.22743,                0.24698,                 1.0369,                0.96944,                0.95144,                0.96748,                0.91968,                0.39604,                0.43393,                0.89702,              0.0004387,              0.0004387,              0.0004387
                     16,                0.20967,                0.22845,                 1.0224,                0.96956,                 0.9628,                0.97232,                  0.926,                0.36699,                0.37067,                0.85595,             0.00036797,             0.00036797,             0.00036797
                     17,                0.20612,                0.21247,                 1.0281,                0.97151,                0.96464,                0.97372,                0.94088,                0.34743,                0.35896,                0.82746,             0.00029723,             0.00029723,             0.00029723
                     18,                0.19453,                0.21091,                 1.0087,                0.97237,                0.96086,                0.97441,                0.94035,                0.34249,                0.35626,                0.81866,              0.0002265,              0.0002265,              0.0002265
                     19,                  0.183,                 0.1936,                0.99795,                0.97213,                0.95824,                0.97118,                 0.9332,                0.34865,                0.36438,                0.82192,             0.00015576,             0.00015576,             0.00015576
                     20,                0.17611,                0.18305,                0.99758,                0.98211,                  0.952,                0.97298,                0.93764,                0.33215,                0.35675,                0.79812,             8.5026e-05,             8.5026e-05,             8.5026e-05
